City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Qeshm,IR,26.9581,56.2719,82.4,69,20,6.91,few clouds
199,Boundiali,CI,9.5217,-6.4869,75.36,79,99,4.97,overcast clouds
200,Ipixuna,BR,-1.7625,-48.8043,77.0,94,0,2.3,clear sky
201,Chara,RU,56.9064,118.2631,41.4,53,100,5.75,overcast clouds
202,Bandarbeyla,SO,9.4942,50.8122,84.06,65,83,4.65,broken clouds
203,Beringovskiy,RU,63.05,179.3167,22.8,84,100,15.55,overcast clouds
204,Boddam,GB,57.4667,-1.7833,39.99,93,95,1.14,fog
205,Altay,CN,47.8667,88.1167,50.76,17,0,5.32,clear sky
206,Nantucket,US,41.2835,-70.0995,51.8,87,20,12.66,few clouds
207,Fortuna,US,40.5982,-124.1573,53.01,100,20,9.22,few clouds
208,Alice,US,27.7523,-98.0697,82.4,89,1,11.5,clear sky
209,Berlevag,NO,70.8578,29.0864,24.8,86,20,1.14,light snow
210,Bauta,CU,22.9828,-82.5464,77.0,78,20,3.44,few clouds
211,Kralendijk,BQ,12.15,-68.2667,78.8,83,80,11.5,broken clouds
212,Moctezuma,MX,29.8,-109.6667,67.06,25,0,7.16,clear sky
213,Termoli,IT,41.9888,14.9895,56.35,62,100,6.13,overcast clouds
214,Richards Bay,ZA,-28.783,32.0377,61.03,84,1,3.31,clear sky
215,Homer,US,59.6425,-151.5483,46.99,49,90,8.05,overcast clouds
216,Ilhabela,BR,-23.7781,-45.3581,67.82,87,11,3.29,few clouds
217,Alacranes,CU,22.7675,-81.5675,78.8,73,20,4.61,moderate rain
218,Caravelas,BR,-17.7125,-39.2481,70.75,87,80,4.27,broken clouds
219,Bubaque,GW,11.2833,-15.8333,77.86,64,98,12.46,overcast clouds
220,Chuy,UY,-33.6971,-53.4616,62.35,77,15,6.46,few clouds
221,Mount Darwin,ZW,-16.7725,31.5838,55.71,82,69,2.77,broken clouds
222,Puri,IN,19.8,85.85,86.5,72,10,16.28,clear sky
223,Port-Cartier,CA,50.0334,-66.8654,36.0,86,20,14.97,few clouds
224,Necochea,AR,-38.5473,-58.7368,55.0,92,100,5.75,overcast clouds
225,Kavaratti,IN,10.5669,72.642,85.35,70,93,7.07,overcast clouds
226,Aswan,EG,24.0934,32.907,80.6,13,0,8.37,clear sky
227,Phan Thiet,VN,10.9333,108.1,91.18,48,15,15.32,few clouds
228,Kruisfontein,ZA,-34.0033,24.7314,59.47,42,0,6.89,clear sky
229,Edson,CA,53.5835,-116.4356,44.6,65,75,3.44,light rain
230,Ilulissat,GL,69.2167,-51.1,46.4,25,0,24.16,clear sky
231,San Patricio,US,28.017,-97.5169,75.2,94,20,13.8,few clouds
232,Norman Wells,CA,65.282,-126.8329,44.6,53,75,2.3,broken clouds
233,Kalakamati,BW,-20.5929,27.3121,50.83,79,90,12.3,overcast clouds
234,Le Robert,MQ,14.6775,-60.9392,78.8,78,0,10.36,clear sky
235,Vao,NC,-22.6667,167.4833,74.44,75,64,22.28,broken clouds
236,Beyneu,KZ,45.3167,55.2,69.26,16,66,9.69,broken clouds
237,Cherskiy,RU,68.75,161.3,30.51,78,5,6.73,clear sky
238,Buzmeyin,TM,38.0507,58.2056,64.4,42,90,6.91,overcast clouds
239,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.39,70,2,3.42,clear sky
240,Plaster Rock,CA,46.9065,-67.39,35.6,51,1,10.36,clear sky
241,Finote Selam,ET,10.7,37.2667,60.58,84,96,0.67,overcast clouds
242,Santa Paula,US,34.3542,-119.0593,59.0,77,1,3.44,haze
243,Hasaki,JP,35.7333,140.8333,70.0,28,75,13.8,broken clouds
244,Shingu,JP,33.7333,135.9833,62.6,55,20,14.97,few clouds
245,Balasheyka,RU,53.2841,48.0851,51.48,80,99,7.36,overcast clouds
246,Karratha,AU,-20.7377,116.8463,87.71,35,100,15.7,overcast clouds
247,San Carlos,VE,9.6612,-68.5827,73.35,90,99,2.77,overcast clouds
248,Mandalgovi,MN,45.7625,106.2708,42.35,34,14,27.6,few clouds
