City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
47,Sakakah,SA,64.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
48,Yamada,JP,58.26,broken clouds,39.4667,141.95,Iroha-ya Inn
49,Eureka,US,53.01,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
54,Puerto Ayora,EC,74.37,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Laguna,US,78.8,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
57,Nueva Gerona,CU,79.68,broken clouds,21.8833,-82.8,Villa Gerona
58,Santa Isabel Do Rio Negro,BR,71.08,broken clouds,-0.4139,-65.0192,Hotel GSA
59,Ponta Do Sol,PT,55.0,overcast clouds,32.6667,-17.1,Hotel do Campo
60,Acari,PE,69.84,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
61,Barra Da Estiva,BR,59.09,overcast clouds,-13.6261,-41.3269,Pousada Central
62,Tuatapere,NZ,60.01,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
65,Busselton,AU,66.99,overcast clouds,-33.65,115.3333,Observatory Guest House
70,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
75,Geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
76,Port Elizabeth,ZA,55.4,clear sky,-33.918,25.5701,39 On Nile Guest House
77,Praia Da Vitoria,PT,60.01,broken clouds,38.7333,-27.0667,Hotel Branco I
80,Mar Del Plata,AR,61.0,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
81,Lexington,US,62.6,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
82,Te Anau,NZ,55.9,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
83,Bluff,NZ,60.01,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
85,Ankara,TR,66.99,clear sky,39.9199,32.8543,Ramada by Wyndham Ankara
87,Eregli,TR,68.13,scattered clouds,37.5133,34.0467,Hotel Fuat Bey
89,Los Llanos De Aridane,ES,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
93,Broome,US,53.01,broken clouds,42.2506,-75.833,Chenango Valley State Park
94,Bethel,US,59.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
101,Darfo,IT,51.01,few clouds,45.8779,10.1812,Hotel San Martino
102,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
103,Mahajanga,MG,73.4,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
110,Warri,NG,77.02,overcast clouds,5.5167,5.75,BON Hotel Delta
111,Haizhou,CN,68.54,light rain,34.5817,119.1289,Shiji Yuan International Hotel
112,Port Alfred,ZA,62.94,clear sky,-33.5906,26.891,The Halyards Hotel
113,Hermanus,ZA,66.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
114,Terney,RU,54.01,few clouds,45.0503,136.6092,"Hotel ""Ternay"""
115,Saint George,US,68.0,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
116,New Norfolk,AU,52.0,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
117,Ribeira Grande,PT,60.48,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
119,Acarau,BR,77.5,overcast clouds,-2.8856,-40.12,castelo pizzaria
120,Hobart,AU,53.6,light rain,-42.8794,147.3294,Mantra on Collins Hobart
123,Airai,TL,69.76,broken clouds,-8.9266,125.4092,Juvinal Martin
125,Hualmay,PE,66.11,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
126,Mwinilunga,ZM,60.24,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
127,Coolum Beach,AU,75.99,broken clouds,-26.5333,153.1,Palmer Coolum Resort
128,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
129,Castro,BR,55.78,clear sky,-24.7911,-50.0119,CHACARA BAILLY
131,Buraydah,SA,68.0,clear sky,26.326,43.975,فندق راحة السلام
132,Dunmore East,IE,50.0,moderate rain,52.1514,-6.9861,The Strand Inn
133,Wanxian,CN,71.13,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
134,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
135,Mackay,AU,78.01,scattered clouds,-21.15,149.2,International Lodge Motel
137,Kargasok,RU,53.26,overcast clouds,59.0556,80.8572,Hotel Kargasok
140,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
143,Ramsar,IR,60.8,overcast clouds,36.9226,50.6426,Rasa Residential Hotel
145,Talcahuano,CL,53.6,moderate rain,-36.7167,-73.1167,Hotel Terramar
146,Esperance,AU,66.2,scattered clouds,-33.8667,121.9,Hospitality Esperance
148,Mahebourg,MU,73.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
